Interacao,Resumo
de: para: tarefa: olá solicito a exclusão do seguinte usuário no sistema point service. nome: antonio cabral pessoa peço que também seja excluido acesso em demais sistemas da empresa.,"Foi solicitada a exclusão do usuário Antonio Cabral do sistema Point Service e o encerramento de seus acessos aos demais sistemas da empresa, em decorrência de seu desligamento."
"boa tarde! peço que seja realizado o cadastro do colaborador ricardo lobato rodrigues no point service, pois ele foi designado para executar preventivas durante este mês. seguem os dados necessários para o cadastro: nome: ricardo lobato rodrigues cpf: telefone: prezada, boa tarde! colaborador já possui cadastro, só atualizei o perfil e a permissão, abaixo segue a senha de acesso ao aplicativo. login: cpf senha: dúvidas estamos a disposição,","Foi solicitado o cadastro do colaborador no sistema Point Service, pois ele foi designado para realizar manutenções preventivas durante o mês. Os dados necessários para o cadastro foram enviados."
de: para: tarefa: olá solicito a exclusão do seguinte usuário no sistema point service. nome: carlos aberto g silva peço que também seja excluido acesso em demais sistemas da empresa.,"Foi solicitada a exclusão do usuário Carlos Alberto Guimarães do sistema Point Service, bem como a revogação de seus acessos aos demais sistemas da empresa, devido ao término do contrato de trabalho."
de: para: tarefa: olá solicito a exclusão do seguinte usuário no sistema point service. nome: peço que também seja excluido acesso em demais sistemas da empresa.,"Foi solicitada a exclusão do usuário Leandro Pereira da Silva do sistema Point Service, além da remoção de seus acessos aos demais sistemas da empresa, em razão do encerramento do vínculo empregatício."
de: para: tarefa: olá solicito a exclusão do seguinte usuário no sistema point service. nome: carlos alberto guimares silva peço que também seja excluido acesso em demais sistemas da empresa.,"Foi solicitada a exclusão do usuário Cleiton Alves Rodrigues do sistema Point Service, assim como a revogação de seus acessos aos demais sistemas da empresa, em decorrência do término do contrato de trabalho."
de: para: tarefa: olá solicito a exclusão do seguinte usuário no sistema point service. nome: gustavo alves oliveira peço que também seja excluido acesso em demais sistemas da empresa.,"Foi solicitada a exclusão do usuário Gustavo Alves do sistema Point Service, bem como a remoção de seus acessos aos demais sistemas da empresa, devido ao encerramento do contrato de trabalho."
"boa tarde, solicito o cancelamento das seguintes ordens por lançamento errado: solicito a cancelamento da seguinte ordem por duplicidade: prezada, boa tarde! ordens de serviços canceladas. heloisa vitoria ferreira lucas reacted to your message:","Foi solicitado o cancelamento de diversas ordens devido a lançamento incorreto, além do cancelamento de uma ordem específica por duplicidade."
de: para: tarefa: olá solicito a exclusão do seguinte usuário no sistema point service. nome: edmilson da silva oliveira peço que também seja excluido acesso em demais sistemas da empresa. prezado a bom dia! colaborador desativado do sistema do point servisse.,"Foi solicitada a exclusão do usuário do sistema Point Service, bem como a remoção de seus acessos aos demais sistemas da empresa, em razão do encerramento do contrato de trabalho."
"gentileza desconsiderar o pedido. ela não vai utilizar o crachá point service. obrigada. de: diógenes albuquerque enviada em: segunda-feira, de março de para: atendimento fab soluções cc: cândida wilma fonseca de rezende assunto: re: construtora porto-f s company- -solicitação de admissão clt alesandra valois bom dia! a colaboradora possui email corporativo: seria interessante utilizar o mesmo ao invés do gmail. de: candida rezende enviado: segunda-feira, de março de para: tecnologia da informação assunto: construtora porto-f s company- -solicitação de admissão clt alesandra valois de: para: tarefa: favor efetuar o cadastro do novo colaborador no point-service nome: alesandra valois dos santos cpf: telefone: permissão: favor indicar este destinatário no e-mail cc: service-desk e-mail prezada o bom dia! desconsiderado a solicitação.","Foi solicitada a inclusão de um destinatário específico em cópia nos e-mails, com as devidas permissões e informações de contato fornecidas."
de: para: tarefa: olá solicito a exclusão do seguinte usuário no sistema point service. nome: raimundo jose macedo junior peço que também seja excluido acesso em demais sistemas da empresa. prezado a boa tarde! colaborador desativado do sistema do point servisse.,Foi solicitada a exclusão de um usuário do sistema Point Service em decorrência do término do contrato de trabalho.
"bom dia! solicito a exclusão da preventiva leitura de água diária para somente dois usuários, valdir costa silva ordens e ricardo gomes da silva bezerra ordens mês de referência hraug hospital regional de augustinópolis. prezado, bom dia! qual motivo do cancelamento das ordens de serviços? fico no aguardo, boa tarde! o motivo do cancelamento se dá pelo equívoco no lançamento, seriam apenas os plantonistas noturnos a receberem estes serviços, acabei enviando para os demais, que são diurnos. prezado, boa tarde! obrigada pelo retorno. foi feito o cancelamento das ordens de serviços para esses colaboradores. dúvidas estamos a disposição,","Foi solicitada a exclusão da preventiva ""Leitura de água diária"" para os usuários mencionados, com um total de 64 ordens para o primeiro usuário e 60 ordens para o segundo, referente ao mês de março de 2025 no Hospital Regional de Augustinópolis."
de: para: tarefa: olá solicito a exclusão do seguinte usuário no sistema point service. nome: rian robson barros do nascimento peço que também seja excluido acesso em demais sistemas da empresa. prezado a bom dia! colaborador não possui cadastro no sistema do point service.,"Foi solicitada a exclusão do usuário Rian Robson Barros do Nascimento do sistema Point Service, bem como a remoção de seus acessos aos demais sistemas da empresa, devido ao término do contrato de trabalho."
de: para: tarefa: olá solicito a exclusão do seguinte usuário no sistema point service. nome: peço que também seja excluido acesso em demais sistemas da empresa. prezado a boa tarde! colaborador desativado do sistema do point servisse.,"Foi solicitada a exclusão do usuário Michel Dias do sistema Point Service, bem como a revogação de seus acessos aos demais sistemas da empresa."
